0,0.125
20,0.938
40,0.408
60,0.719
80,0.264
100,0.138
120,0.954
140,0.082
160,0.947
180,0.507
200,0.429
221,0.056
241,0.547
261,0.462
281,0.813
301,0.439
322,0.828
342,0.533
362,0.13
382,0.072
402,0.144
422,0.893
442,0.906
462,0.543
482,0.552
502,0.765
523,0.587
543,0.901
563,0.786
584,0.415
604,0.361
624,0.61
644,0.756
665,0.053
685,0.549
705,0.555
725,0.271
745,0.534
765,0.233
786,0.188
806,0.974
827,0.925
847,0.645
868,0.638
889,0.709
910,0.879
930,0.335
950,0.55
970,0.615
991,0.774
1012,0.721
1032,0.672
1053,0.237
1074,0.785
1095,0.831
1115,0.799
1136,0.491
1157,0.373
1177,0.803
1197,0.93
1218,0.531
1238,0.159
1258,0.994
1279,0.355
1299,0.385
1319,0.052
1339,0.197
1360,0.887
1380,0.408
1401,0.181
1421,0.288
1441,0.499
1461,0.494
1481,0.017
1502,0.473
1522,0.243
1543,0.955
1563,0.011
1583,0.025
1603,0.866
1623,0.649
1643,0.484
1664,0.503
1684,0.469
1704,0.902
1725,0.421
1745,0.162
1766,0.612
1786,0.745
1807,0.173
1828,0.355
1848,0.627
1868,0.541
1889,0.31
1911,0.003
1931,0.395
1952,0.522
1973,0.555
1993,0.17
2013,0.276
2033,0.888
2054,0.131
2075,0.832
2096,0.263
2116,0.985
2136,0.8
2156,0.98
2177,0.688
2197,0.676
2217,0.567
2237,0.123
2257,0.385
2278,0.834
2299,0.214
2319,0.657
2339,0.463
2359,0.128
2379,0.288
2399,0.995
2420,0.023
2440,0.324
2460,0.443
2480,0.111
2500,0.343
2521,0.447
2542,0.007
2562,0.334
2582,0.636
2602,0.374
2623,0.635
2644,0.212
2664,0.897
2685,0.126
2705,0.482
2725,0.361
2745,0.543
2765,0.974
2785,0.946
2805,0.184
2826,0.148
2846,0.379
2866,0.795
2886,0.725
2906,0.387
2926,0.847
2946,0.816
2994,0.795
3014,0.612
3034,0.769
3054,0.521
3074,0.785
3095,0.209
3115,0.549
3135,0.337
3155,0.42
3175,0.233
3195,0.519
3216,0.439
3236,0.306
3256,0.167
3276,0.081
3297,0.619
3317,0.732
3337,0.619
3357,0.15
3378,0.765
3398,0.941
3418,0.508
3439,0.564
3460,0.251
3480,0.091
3500,0.497
3520,0.662
3541,0.392
3562,0.87
3582,0.218
3602,0.155
3622,0.489
3642,0.428
3663,0.683
3684,0.66
3704,0.002
3724,0.804
3744,0.523
3764,0.202
3784,0.911
3804,0.189
3825,0.533
3846,0.703
3866,0.388
3886,0.284
3906,0.51
3926,0.639
3947,0.267
3967,0.221
3988,0.013
4013,0.439
4033,0.529
4053,0.123
4073,0.386
4093,0.928
4114,0.554
4134,0.569
4154,0.519
4174,0.225
4194,0.302
4214,0.79
4234,0.117
4255,0.021
4275,0.715
4295,0.28
4315,0.522
4335,0.751
4356,0.006
4376,0.603
4396,0.544
4417,0.921
4437,0.446
4457,0.983
4477,0.446
4498,0.196
4518,0.382
4538,0.808
4558,0.208
4578,0.482
4598,0.064
4618,0.144
4639,0.276
4659,0.361
4679,0.949
4700,0.567
4721,0.864
4741,0.536
4762,0.965
4783,0.865
4803,0.623
4823,0.372
4843,0.993
4863,0.415
4884,0.909
4904,0.312
4925,0.033
4945,0.524
4965,0.754
4986,0.767
5026,0.699
5046,0.826
5066,0.513
